timestamp,symbol,bid_price_1,bid_vol_1,ask_price_1,ask_vol_1
1672531200001,BTCUSDT,16540.50,1.25,16541.00,0.85
1672531200005,BTCUSDT,16540.50,1.25,16541.00,0.50
1672531200012,BTCUSDT,16540.50,2.10,16541.00,0.50
1672531200018,BTCUSDT,16540.80,0.15,16541.00,0.50
1672531200022,BTCUSDT,16540.80,0.15,16541.20,1.10
1672531200030,BTCUSDT,16540.90,1.00,16541.20,1.10
1672531200035,BTCUSDT,16540.90,1.50,16541.10,0.20
1672531200041,BTCUSDT,16541.00,0.50,16541.10,0.20
1672531200045,BTCUSDT,16541.00,0.50,16541.30,2.00
1672531200050,BTCUSDT,16541.10,0.10,16541.30,2.00
